Host;IPs;Grupos
MZITPFMLB002B;10.215.122.210;F5 BIG-IP, PessoaFisica
MZITSCMPX024A;10.215.224.196;BlueCoat
MZITSCMPX024B;10.215.224.25;BlueCoat
MZITSCMPX024C;10.215.224.26;BlueCoat
MZITSCMPX024D;10.215.224.29;BlueCoat
MZITSCMPX025A;10.215.224.197;BlueCoat
MZITSCMPX025B;10.215.224.31;BlueCoat
MZITSCMPX025C;10.215.224.32;BlueCoat
MZITSCMPX025D;10.215.224.33;BlueCoat
MZITSCMPX026A;10.215.245.77;BlueCoat
MZITSCMPX026B;10.215.245.76;BlueCoat
MZITSCMRT001A;10.215.232.100;Roteadores de Borda
MZITSCMRT002B;10.215.232.127;Roteadores de Borda
MZITSCMRT003A;10.215.232.128;Roteadores de Borda
MZITSCMSR100A;10.215.232.125;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSR100B;10.215.232.126;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSR101A;10.215.232.110;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSR101B;10.215.232.111;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW101A;10.215.232.112;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW101B;10.215.232.113;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW102A;10.215.232.114;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW102B;10.215.232.115;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW103A;10.215.232.116;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW103B;10.215.232.117;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW104A;10.215.232.118;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW104B;10.215.232.119;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW105A;10.215.232.120;SWITCH, SWITCH\CISCO, ServiçosCorporativo
MZITSCMSW105B;10.215.232.121;SWITCH, SWITCH\CISCO, ServiçosCorporativo
NC-CE-FW-1A;10.206.248.9;BackBone, CHECKPOINT/FIREWALL
NC-CE-FW-1B;10.206.248.10;BackBone, CHECKPOINT/FIREWALL
NC-PD-SR-1A;10.206.254.68;Migrados
NC-PD-SR-1B;10.206.254.69;Migrados
NY-BBI-C0-SW-24A;10.231.101.254;MigradosNok
NY-BBI-C0-SW-24AB;10.231.100.1;UNIDADE INTERNACIONAL
NY-BBI-C0-SW-24B;10.231.101.254;MigradosNok
NY-BBI-CM-SW-48A;10.231.100.132;Migrados
NY-BBI-CM-SW-48AB;10.231.100.132;UNIDADE INTERNACIONAL
NY-BBI-CM-SW-48B;10.231.100.132;Migrados
NY-BBI-FW-6400-01A;10.231.100.12;UNIDADE INTERNACIONAL
NY-BBI-FW-6400-01B;10.231.100.13;UNIDADE INTERNACIONAL
NY-BBY-FW-6400-01A;10.231.100.12;Migrados
NY-BBY-FW-6400-01B;10.231.100.13;Migrados
PA-PD-SR-1A;10.202.252.4;MigradosNok
PA-PD-SR-1B;10.202.252.5;MigradosNok
PA-PD-SR-2AB;10.213.248.197;Migrados
PI-PD-SR-1AB;10.232.199.128;Migrados
PR-BT-SW-1A;10.199.84.150;Migrados
PRINT LASER - NT - BKP_B - PMSYS - TITULARIDADE PARCEIRO;10.194.19.202;CARTOES - OPERADORAS
PRINT LASER - NT - PRINCIPAL_B - VIVO - TITULARIDADE PARCEIRO;10.194.19.146;CARTOES - OPERADORAS
PT-BT-SR-1A;10.204.254.32;MigradosNok
RCB NT - BACKUP OI - CHAVE - 125145;10.194.19.229;CARTOES - OPERADORAS
RCB NT - PRINCIPAL TELMEX - CHAVE - 125146;10.194.19.162;CARTOES - OPERADORAS
SCOPUS - NT - BKP_B - PMSYS - CHAVE - 121985;10.194.19.211;CARTOES - OPERADORAS
service-edge01;10.151.171.138;NSX_VM
service-edge02;10.151.171.139;NSX_VM
SGH210M791;10.209.101.10;MigradosNok
SPB_IP330;10.192.222.6, 10.192.222.7, 10.192.222.8;Migrados
SW2960-ARG-24A;10.240.115.244;MigradosNok
SW2960-ARG-48A;10.240.112.253;MigradosNok
SW2960-HK-48-A;10.231.237.195;UNIDADE INTERNACIONAL
SW2960-HK-48-B;10.231.237.132;UNIDADE INTERNACIONAL
SW2960-NY-48-A;10.231.213.14;UNIDADE INTERNACIONAL
SW2960-NY-48-B;10.231.213.15;UNIDADE INTERNACIONAL
SW3650-NY-24-A;10.231.196.133;UNIDADE INTERNACIONAL
SW3650-NY-24-B;10.231.196.134;UNIDADE INTERNACIONAL
SW3750-CAY-24-A;10.231.195.9;Migrados
SW3750-CAY-24-B;10.231.195.10;Migrados
SW3750-CAY-48-A;10.231.194.14;Migrados
SW3750-CAY-48-B;10.231.194.15;Migrados
SWA9316NY001;10.231.100.61;MigradosNok
SWA9316NY002;10.231.100.60;MigradosNok
SWA9316NY003;10.231.100.62;MigradosNok
T0-Backbone-EDGE05;10.150.181.22;NSX_VM
T0-Backbone-EDGE06;10.150.181.20;NSX_VM
T0-DMZ-EDGE04;10.150.187.46;NSX_VM
T0-DMZ-EDGE05;10.150.187.44;NSX_VM
THOMAS GREG NT - BACKUP OI - CHAVE - 125564;10.194.19.230;CARTOES - OPERADORAS
THOMAS GREG NT - PRINCIPAL TELMEX - CHAVE - 125563;10.194.19.163;CARTOES - OPERADORAS
UN-PD-SR-1AB;10.232.75.160;Migrados
VALID NT - BACKUP - PSYS - CHAVE - 121956;10.194.19.195;CARTOES - OPERADORAS
VALID NT - PRINCIPAL_B - VIVO - CHAVE - 122016.br.soc.telefonica;10.194.19.132;CARTOES - OPERADORAS
Vcenter Desenvolvimento;10.243.144.68;MigradosNok
VIP - MZ-DC-CLD-NSX-MG-1ABC;10.236.205.161;NSX_VM
Virtual_Cluster_LOG_IN_AD;10.214.127.153;MigradosNok
VL-PD-SR-1A;10.202.255.0;Migrados
VL-PD-SR-1B;10.202.255.1;Migrados
VL-PD-SR-2A;10.202.80.14;Migrados
VL-PD-SR-2B;10.202.80.15;Migrados
vp-ise-log-105a;10.236.203.157;MigradosNok
vp-ise-log-105b;10.236.156.72;MigradosNok
vp-ise-mg-104a;10.236.203.156;MigradosNok
vp-ise-mg-104b;10.236.156.71;MigradosNok
vp-ise-psn-103a;10.236.203.155;MigradosNok
vp-ise-psn-103b;10.236.156.70;MigradosNok
VPN_Conexoes;;VPN_TOTAL
VPN_Conexoes_AGENCIAS;;VPN AGENCIAS
VPN_Conexoes_agencias;;VPN_TOTAL_Agencias
VPN_Conexoes_ALPHA;;VPN CORPORATIVA ALPHA
VPN_Conexoes_CORPORATIVA;;VPN CORPORATIVA
VPN_Conexoes_VPNZINHA;;VPNZINHA
VPN_Conexoes_vpnzinha;;VPN_TOTAL_vpnzinha
vripclap0103;10.235.220.48;Zabbix servers
vripclap0105;10.235.220.51;Zabbix servers
vripclap0106;10.235.220.52;Zabbix servers
vripclap0117;10.235.220.62;Zabbix servers
vripclbd0040;10.235.220.42;Zabbix servers
vripclbd0042;10.235.220.53;Zabbix servers
vripclbd0104;10.235.220.50;Zabbix servers
XA-CC-CE-1A;10.213.247.173;Migrados
XA-CC-CE-1B;10.213.247.174;Migrados
XA-CC-FW-1A;10.213.255.26;ASA/FIREWALL, BackBone
XA-CC-FW-1B;10.213.255.27;ASA/FIREWALL, BackBone
XA-CC-SR-1A;10.213.255.20;Migrados
XA-CC-SR-1B;10.213.255.21;Migrados
XA-CC-SW-1A;10.213.255.22;Migrados
XA-CC-SW-1B;10.213.255.23;Migrados
XA-CC-SW-2A;10.213.255.24;Migrados
XA-CC-SW-2B;10.213.255.25;Migrados
XA-CC-SWB-1A;10.213.255.40;Migrados
XA-CC-SWB-1B;10.213.255.37;Migrados
XA-CC-SWB-1C;10.213.255.38;Migrados
XA-CC-SWB-1D;10.213.255.39;Migrados
XA-DC-CE-FW-007A;10.213.146.78;BackBone, CHECKPOINT/FIREWALL
XA-DC-CE-FW-007B;10.213.146.79;BackBone, CHECKPOINT/FIREWALL
XA-DC-EDGE-1A;10.201.155.6;NSX_VM
XA-DC-EDGE-1C;10.201.155.133;NSX_VM
XA-DC-EDGE-1D;10.201.155.134;NSX_VM
XA-DC-NSX-1;10.201.155.4;NSX_VM
XA-DC-NSX-1A;10.201.155.1;NSX_VM
XA-DC-NSX-1B;10.201.155.2;NSX_VM
XA-DC-NSX-1C;10.201.155.3;NSX_VM
XA-DC-PIR-FW-1A;10.202.170.100;FORTINET\FIREWALL, Pirituba
XA-DC-PIR-FW-1B;10.202.170.101;FORTINET\FIREWALL, Pirituba
XA-DC-PIR-FW-2A;10.202.170.102;FORTINET\FIREWALL, Pirituba
XA-DC-PIR-FW-2B;10.202.170.103;FORTINET\FIREWALL, Pirituba
XA-DC-SW-1A;10.213.248.62;Migrados
XA-DC-SW-1B;10.213.248.63;Migrados
XA-DC-SW-2A;10.213.248.64;Migrados
XA-DC-SW-2B;10.213.248.5;Migrados
XA-DC-SW-3A;10.213.248.6;Migrados
XA-DC-SW-3B;10.213.248.65;Migrados
XA-DC-SW-5A;10.213.146.76;Migrados
XA-DC-SW-5B;10.213.146.77;Migrados
XA-DC-SW-6A;10.213.146.82;Migrados
XA-DC-SW-6B;10.213.146.83;Migrados
XA-DC-SW-6C;10.213.146.70;Migrados
XA-DC-SW-6D;10.213.146.71;Migrados
XA-DC-SW-7A;10.213.146.84;Migrados
XA-DC-SW-7B;10.213.146.85;Migrados
XA-DC-VRNI-C03;10.201.155.5;NSX_VM
XA-HM-FI-01A;10.213.154.143;Homologação, MigradosNok
XA-HM-FI-01B;10.213.154.144;Homologação, MigradosNok
XA-HM-FW-1A;10.213.255.88;Curitiba, FORTINET\FIREWALL, Homologação
XA-HM-FW-1B;10.213.255.89;Curitiba, FORTINET\FIREWALL, Homologação
XA-HM-LB-2A;10.213.255.101;F5 BIG-IP, Homologação
XA-HM-LB-2B;10.213.255.102;F5 BIG-IP, Homologação
XA-HM-SR-1A;10.213.255.82;Homologação, Migrados
XA-HM-SR-1B;10.213.255.83;Homologação, Migrados
XA-HM-SW-1A;10.213.255.84;Homologação, Migrados
XA-HM-SW-1B;10.213.255.85;Homologação, Migrados
XA-HM-SW-2A;10.213.255.86;Homologação, Migrados
XA-HM-SW-2B;10.213.255.87;Homologação, Migrados
XA-IT-DC-SW-003A;10.213.247.222;Migrados
XA-IT-DC-SW-003B;10.213.247.223;Migrados
XA-IT-DMZ-BC-100A;10.213.247.220;F5 BIG-IP, ServiçosCorporativo
XA-IT-DMZ-BC-100B;10.213.247.221;F5 BIG-IP, ServiçosCorporativo
XA-IT-EXT-SW-1A;10.213.247.226;Migrados
XA-IT-EXT-SW-1B;10.213.247.227;Migrados
XA-IT-GER-SW-1A;10.213.146.72;Migrados
XA-IT-GER-SW-1B;10.213.146.73;Migrados
XA-IT-GER-SW-1C;10.213.146.74;Migrados
XA-IT-GER-SW-1D;10.213.146.75;Migrados
XA-IT-HO-C0-SR-002A;10.213.247.204;Migrados
XA-IT-HO-C0-SR-002B;10.213.247.205;Migrados
XA-IT-HO-C1-FW-003A;10.213.247.32;ASA/FIREWALL
XA-IT-HO-C1-FW-003B;10.213.247.31;ASA/FIREWALL
XA-IT-HO-C2-FW-004A;10.213.247.212;CHECKPOINT/FIREWALL, Homologação
XA-IT-HO-C2-FW-004B;10.213.247.213;CHECKPOINT/FIREWALL, Homologação
XA-IT-HO-CM-BC-003A;10.213.247.217;F5 BIG-IP, Homologação
XA-IT-HO-CM-BC-003B;10.213.247.218;F5 BIG-IP, Homologação
XA-IT-HO-CM-SR-003A;10.213.247.208;Migrados
XA-IT-HO-CM-SR-003B;10.213.247.209;Migrados
XA-IT-HO-CM-SR-004A;10.213.247.214;Migrados
XA-IT-HO-CM-SR-004B;10.213.247.215;Migrados
XA-IT-HO-GR-SR-002A;10.213.247.200;Migrados
XA-IT-HO-GR-SR-002B;10.213.247.201;Migrados
XA-IT-LOS-C0-FW-102A;10.213.247.117;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-C0-FW-102B;10.213.247.118;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-C0-RT-108A;10.213.247.160;Roteadores de Borda
XA-IT-LOS-C0-RT-108B;10.213.247.161;Roteadores de Borda
XA-IT-LOS-C0-RT-108C;10.213.247.162;Roteadores de Borda
XA-IT-LOS-C0-RT-108D;10.213.247.163;Roteadores de Borda
XA-IT-LOS-C0-SW-107A;10.213.247.158;Migrados
XA-IT-LOS-C0-SW-107B;10.213.247.159;MigradosNok
XA-IT-LOS-C1-SR-105A;10.213.247.152;Migrados
XA-IT-LOS-C1-SR-105B;10.213.247.153;Migrados
XA-IT-LOS-C1-SR-105C;10.213.247.154;Migrados
XA-IT-LOS-C1-SR-105D;10.213.247.155;Migrados
XA-IT-LOS-CM-SR-104A;10.213.247.140;Migrados
XA-IT-LOS-CM-SR-104B;10.213.247.141;Migrados
XA-IT-LOS-CM-SR-104C;10.213.247.142;Migrados
XA-IT-LOS-CM-SR-104D;10.213.247.143;Migrados
XA-IT-LOS-DMZ-FW-100A;10.213.146.80;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-DMZ-FW-100B;10.213.146.81;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-DMZ-TAP-106A;10.213.247.172;Migrados
XA-IT-LOS-EXT-FW-130A;10.213.247.224;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-EXT-FW-130B;10.213.247.225;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-EXT-SW-201A;10.213.247.164;MigradosNok
XA-IT-LOS-EXT-SW-201B;10.213.247.165;MigradosNok
XA-IT-LOS-GR-FW-600B;10.213.135.93;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-GR-SW-601A;10.213.247.4;Migrados
XA-IT-LOS-GR-SW-601B;10.213.247.5;MigradosNok
XA-IT-LOS-GR-SW-602A;10.213.247.6;Migrados
XA-IT-LOS-GR-SW-602B;10.213.247.7;Migrados
XA-IT-LOS-GR-SW-602C;10.213.247.8;Migrados
XA-IT-LOS-INT-FW-001A;10.213.247.228;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-INT-FW-001B;10.213.247.229;CHECKPOINT/FIREWALL, Losango
XA-IT-LOS-VPN-FW-100A;10.213.247.23;ASA\VPN_SITE
XA-IT-LOS-VPN-FW-100B;10.213.247.22;ASA\VPN_SITE
XA-IT-PIR-FW-1A;10.202.170.104;FORTINET\FIREWALL, Pirituba
XA-IT-PIR-FW-1B;10.202.170.105;FORTINET\FIREWALL, Pirituba
XA-LOS-CE-SW-1A;10.213.255.152;Migrados
XA-LOS-CE-SW-1B;10.213.255.153;Migrados
XA-LO S-DC-SWB-100A;10.213.255.32;MigradosNok
XA-LO S-DC-SWB-100B;10.213.255.33;MigradosNok
XA-LOS-HM-SWB-200A;10.213.255.117;Homologação, Migrados
XA-LOS-HM-SWB-200B;10.213.255.118;Homologação, Migrados
XA-LOS-LB-2A;10.213.255.101;F5 BIG-IP
XA-LOS-LB-2B;10.213.255.102;F5 BIG-IP
XA-LOS-LB-3A;10.213.133.20;F5 BIG-IP, Losango
XA-LOS-LB-3B;10.213.133.21;F5 BIG-IP, Losango
XA-LOS-SDW-RT-1A;10.149.216.120;MigradosNok
XA-LOS-SDW-RT-1B;10.149.216.121;MigradosNok
XA-MPLS-P-1A;10.213.255.232;Migrados
XA-MPLS-P-1B;10.213.255.235;Migrados
XA-MPLS-PE-1A;10.213.255.238;Migrados
XA-MPLS-PE-1B;10.213.255.241;Migrados
XA-MPLS-RR-2A;10.213.255.110;SWITCH\CISCO
XA-MPLS-RR-2B;10.213.255.111;SWITCH\CISCO
XA-MPLS-RR-2C;10.213.255.112;SWITCH\CISCO
XA-NC-SW-01;10.213.248.58;SWITCH\CISCO
XA-NC-SW-02;10.213.248.59;SWITCH\CISCO
XA-PD-SR-1A;10.213.248.14;SWITCH\CISCO
XA-PD-SR-1B;10.213.248.15;SWITCH\CISCO
XA-PD-SR-2AB;10.213.255.243;SWITCH\CISCO
XA-PIR-NPRD-LB-1A;10.201.197.22;F5 BIG-IP, Pirituba
XA-PIR-NPRD-LB-1B;10.201.197.23;F5 BIG-IP, Losango
XA-PIR-PRD-LB-1A;10.201.197.20;F5 BIG-IP, Pirituba
XA-PIR-PRD-LB-1B;10.213.133.21;F5 BIG-IP, Pirituba
XADCSCPED001A;10.202.170.25;NSX_VM
XADCSCPED001B;10.202.170.26;NSX_VM
XADCSCPED001C;10.202.170.37;NSX_VM
XADCSCPED001D;10.202.170.38;NSX_VM
